"date","trips"
"2019-11-16",230
"2019-11-17",223
"2019-11-18",202
"2019-11-19",255
"2019-11-20",201
"2019-11-21",197
"2019-11-22",128
"2019-11-23",267
"2019-11-24",261
"2019-11-25",240
"2019-11-26",177
"2019-11-27",119
"2019-11-28",82
"2019-11-29",35
"2019-11-30",149
"2019-12-01",188
"2019-12-02",214
"2019-12-03",229
"2019-12-04",213
"2019-12-05",216
"2019-12-06",196
"2019-12-07",282
"2019-12-08",236
"2019-12-09",190
"2019-12-10",73
"2019-12-11",129
"2019-12-12",141
"2019-12-13",247
"2019-12-14",245
"2019-12-15",183
"2019-12-16",81
"2019-12-17",96
"2019-12-18",110
"2019-12-19",68
"2019-12-20",39
"2019-12-21",108
"2019-12-22",103
"2019-12-23",132
"2019-12-24",85
"2019-12-25",118
"2019-12-26",140
"2019-12-27",176
"2019-12-28",91
"2019-12-29",184
"2019-12-30",204
"2019-12-31",228
"2020-01-01",108
"2020-01-02",101
"2020-01-03",176
"2020-01-04",232
"2020-01-05",193
"2020-01-06",92
"2020-01-07",140
"2020-01-08",130
"2020-01-09",99
"2020-01-10",94
"2020-01-11",133
"2020-01-12",106
"2020-01-13",56
"2020-01-14",102
"2020-01-15",117
"2020-01-16",70
"2020-01-17",72
"2020-01-18",265
"2020-01-19",167
"2020-01-20",181
"2020-01-21",159
"2020-01-22",44
"2020-01-23",179
"2020-01-24",251
"2020-01-25",218
"2020-01-26",323
"2020-01-27",230
"2020-01-28",163
"2020-01-29",169
"2020-01-30",159
"2020-01-31",188
"2020-02-01",329
"2020-02-02",282
"2020-02-03",203
"2020-02-04",161
"2020-02-05",104
"2020-02-06",128
"2020-02-07",197
"2020-02-08",322
"2020-02-09",113
"2020-02-10",86
"2020-02-11",59
"2020-02-12",103
"2020-02-13",150
"2020-02-14",256
"2020-02-15",371
"2020-02-16",466
"2020-02-17",207
"2020-02-18",100
"2020-02-19",58
"2020-02-20",73
"2020-02-21",187
"2020-02-22",316
"2020-02-23",237
"2020-02-24",211
"2020-02-25",217
"2020-02-26",134
"2020-02-27",202
"2020-02-28",340
"2020-02-29",445
"2020-03-01",374
"2020-03-02",367
"2020-03-03",264
"2020-03-04",168
"2020-03-05",305
"2020-03-06",416
"2020-03-07",333
"2020-03-08",396
"2020-03-09",141
"2020-03-10",418
"2020-03-11",378
"2020-03-12",301
"2020-03-13",276
"2020-03-14",368
"2020-03-15",108
"2020-03-16",151
"2020-03-17",157
"2020-03-18",144
"2020-03-19",205
"2020-03-20",57
"2020-03-21",60
"2020-03-22",164
"2020-03-23",101
"2020-03-24",149
"2020-03-25",114
"2020-03-26",201
"2020-03-27",145
"2020-03-28",268
"2020-03-29",267
"2020-03-30",64
"2020-03-31",193
"2020-04-01",174
"2020-04-02",43
"2020-04-03",34
"2020-04-04",38
"2020-04-05",200
"2020-04-06",117
"2020-04-07",157
"2020-04-08",149
"2020-04-09",103
"2020-04-10",187
"2020-04-11",172
"2020-04-12",285
"2020-04-13",134
"2020-04-14",119
"2020-04-15",127
"2020-04-16",171
"2020-04-17",69
"2020-04-18",143
"2020-04-19",208
"2020-04-20",134
"2020-04-21",151
"2020-04-22",149
"2020-04-23",247
"2020-04-24",185
"2020-04-25",415
"2020-04-26",390
"2020-04-27",189
"2020-04-28",171
"2020-04-29",168
"2020-04-30",218
"2020-05-01",222
"2020-05-02",441
"2020-05-03",511
"2020-05-04",232
"2020-05-05",204
"2020-05-06",181
"2020-05-07",233
"2020-05-08",280
"2020-05-09",445
"2020-05-10",507
"2020-05-11",254
"2020-05-12",47
"2020-05-13",238
"2020-05-14",240
"2020-05-15",187
"2020-05-16",538
"2020-05-17",428
"2020-05-18",234
"2020-05-19",181
"2020-05-20",259
"2020-05-21",258
"2020-05-22",261
"2020-05-23",467
"2020-05-24",487
"2020-05-25",433
"2020-05-26",273
"2020-05-27",180
"2020-05-28",192
"2020-05-29",278
"2020-05-30",491
"2020-05-31",404
"2020-06-01",210
"2020-06-02",232
"2020-06-03",298
"2020-06-04",288
"2020-06-05",382
"2020-06-06",438
"2020-06-07",401
"2020-06-08",282
"2020-06-09",216
"2020-06-10",251
"2020-06-11",258
"2020-06-12",276
"2020-06-13",549
"2020-06-14",457
"2020-06-15",206
"2020-06-16",255
"2020-06-17",274
"2020-06-18",304
"2020-06-19",391
"2020-06-20",602
"2020-06-21",488
"2020-06-22",282
"2020-06-23",238
"2020-06-24",309
"2020-06-25",289
"2020-06-26",314
"2020-06-27",531
"2020-06-28",322
"2020-06-29",277
"2020-06-30",283
"2020-07-01",213
"2020-07-02",328
"2020-07-03",381
"2020-07-04",460
"2020-07-05",301
"2020-07-06",253
"2020-07-07",237
"2020-07-08",249
"2020-07-09",264
"2020-07-10",277
"2020-07-11",412
"2020-07-12",326
"2020-07-13",225
"2020-07-14",228
"2020-07-15",278
"2020-07-16",181
"2020-07-17",312
"2020-07-18",385
"2020-07-19",284
"2020-07-20",261
"2020-07-21",233
"2020-07-22",256
"2020-07-23",230
"2020-07-24",221
"2020-07-25",359
"2020-07-26",281
"2020-07-27",206
"2020-07-28",214
"2020-07-29",225
"2020-07-30",244
"2020-07-31",228
"2020-08-01",478
"2020-08-02",336
"2020-08-03",242
"2020-08-04",254
"2020-08-05",271
"2020-08-06",245
"2020-08-07",283
"2020-08-08",420
"2020-08-09",467
"2020-08-10",233
"2020-08-11",273
"2020-08-12",194
"2020-08-13",303
"2020-08-14",332
"2020-08-15",379
"2020-08-16",310
"2020-08-17",237
"2020-08-18",263
"2020-08-19",271
"2020-08-20",310
"2020-08-21",285
"2020-08-22",429
"2020-08-23",427
"2020-08-24",304
"2020-08-25",317
"2020-08-26",332
"2020-08-27",352
"2020-08-28",349
"2020-08-29",351
"2020-08-30",355
"2020-08-31",241
"2020-09-01",278
"2020-09-02",235
"2020-09-03",208
"2020-09-04",275
"2020-09-05",650
"2020-09-06",666
"2020-09-07",669
"2020-09-08",282
"2020-09-09",108
"2020-09-10",269
"2020-09-11",385
"2020-09-12",599
"2020-09-13",388
"2020-09-14",312
"2020-09-15",337
"2020-09-16",348
"2020-09-17",250
"2020-09-18",424
"2020-09-19",758
"2020-09-20",468
"2020-09-21",131
"2020-09-22",280
"2020-09-23",291
"2020-09-24",341
"2020-09-25",447
"2020-09-26",591
"2020-09-27",449
"2020-09-28",292
"2020-09-29",265
"2020-09-30",313
"2020-10-01",289
"2020-10-02",391
"2020-10-03",571
"2020-10-04",477
"2020-10-05",327
"2020-10-06",299
"2020-10-07",314
"2020-10-08",363
"2020-10-09",403
"2020-10-10",619
"2020-10-11",423
"2020-10-12",348
"2020-10-13",328
"2020-10-14",408
"2020-10-15",345
"2020-10-16",458
"2020-10-17",487
"2020-10-18",535
"2020-10-19",330
"2020-10-20",325
"2020-10-21",395
"2020-10-22",319
"2020-10-23",400
"2020-10-24",454
"2020-10-25",510
"2020-10-26",183
"2020-10-27",105
"2020-10-28",195
"2020-10-29",264
"2020-10-30",404
"2020-10-31",489
"2020-11-01",595
"2020-11-02",400
"2020-11-03",300
"2020-11-04",352
"2020-11-05",372
"2020-11-06",441
"2020-11-07",579
"2020-11-08",432
"2020-11-09",302
"2020-11-10",322
"2020-11-11",341
"2020-11-12",350
"2020-11-13",435
"2020-11-14",539
"2020-11-15",495
"2020-11-16",311
"2020-11-17",293
"2020-11-18",336
"2020-11-19",323
"2020-11-20",373
"2020-11-21",532
"2020-11-22",398
"2020-11-23",283
"2020-11-24",274
"2020-11-25",370
"2020-11-26",320
"2020-11-27",169
"2020-11-28",60
"2020-11-29",289
"2020-11-30",183
"2020-12-01",201
"2020-12-02",226
"2020-12-03",166
"2020-12-04",245
"2020-12-05",179
"2020-12-06",346
"2020-12-07",246
"2020-12-08",273
"2020-12-09",295
"2020-12-10",233
"2020-12-11",192
"2020-12-12",426
"2020-12-13",182
"2020-12-14",125
"2020-12-15",208
"2020-12-16",210
"2020-12-17",198
"2020-12-18",189
"2020-12-19",223
"2020-12-20",319
"2020-12-21",303
"2020-12-22",270
"2020-12-23",257
"2020-12-24",166
"2020-12-25",336
"2020-12-26",405
"2020-12-27",410
"2020-12-28",408
"2020-12-29",347
"2020-12-30",119
"2020-12-31",37
"2021-01-01",441
"2021-01-02",484
"2021-01-03",476
"2021-01-04",353
"2021-01-05",329
"2021-01-06",209
"2021-01-07",283
"2021-01-08",247
"2021-01-09",329
"2021-01-10",40
"2021-01-11",207
"2021-01-12",175
"2021-01-13",285
"2021-01-14",345
"2021-01-15",292
"2021-01-16",544
"2021-01-17",568
"2021-01-18",444
"2021-01-19",216
"2021-01-20",201
"2021-01-21",286
"2021-01-22",478
"2021-01-23",386
"2021-01-24",185
"2021-01-25",377
"2021-01-26",297
"2021-01-27",283
"2021-01-28",304
"2021-01-29",353
"2021-01-30",617
"2021-01-31",553
"2021-02-01",334
"2021-02-02",367
"2021-02-03",405
"2021-02-04",371
"2021-02-05",336
"2021-02-06",669
"2021-02-07",515
"2021-02-08",365
"2021-02-09",320
"2021-02-10",204
"2021-02-11",68
"2021-02-12",138
"2021-02-13",122
"2021-02-14",14
"2021-02-15",12
"2021-02-16",8
"2021-02-17",14
"2021-02-18",3
"2021-02-19",26
"2021-02-20",183
"2021-02-21",394
"2021-02-22",380
"2021-02-23",392
"2021-02-24",312
"2021-02-25",228
"2021-02-26",296
"2021-02-27",449
"2021-02-28",470
"2021-03-01",234
"2021-03-02",355
"2021-03-03",356
"2021-03-04",374
"2021-03-05",472
"2021-03-06",616
"2021-03-07",634
"2021-03-08",391
"2021-03-09",411
"2021-03-10",460
"2021-03-11",372
"2021-03-12",531
"2021-03-13",493
"2021-03-14",653
"2021-03-15",609
"2021-03-16",516
"2021-03-17",533
"2021-03-18",581
"2021-03-19",743
"2021-03-20",1108
"2021-03-21",778
"2021-03-22",379
"2021-03-23",521
"2021-03-24",367
"2021-03-25",479
"2021-03-26",639
"2021-03-27",858
"2021-03-28",788
"2021-03-29",649
"2021-03-30",533
"2021-03-31",372
"2021-04-01",546
"2021-04-02",699
"2021-04-03",547
"2021-04-04",625
"2021-04-05",571
"2021-04-06",557
"2021-04-07",593
"2021-04-08",494
"2021-04-09",663
"2021-04-10",846
"2021-04-11",650
"2021-04-12",470
"2021-04-13",479
"2021-04-14",440
"2021-04-15",356
"2021-04-16",467
"2021-04-17",891
"2021-04-18",823
"2021-04-19",564
"2021-04-20",550
"2021-04-21",484
"2021-04-22",457
"2021-04-23",286
"2021-04-24",973
"2021-04-25",855
"2021-04-26",600
"2021-04-27",423
"2021-04-28",421
"2021-04-29",238
"2021-04-30",412
"2021-05-01",314
"2021-05-02",732
"2021-05-03",660
"2021-05-04",455
"2021-05-05",515
"2021-05-06",579
"2021-05-07",801
"2021-05-08",806
"2021-05-09",654
"2021-05-10",494
"2021-05-11",292
"2021-05-12",413
"2021-05-13",613
"2021-05-14",717
"2021-05-15",926
"2021-05-16",600
"2021-05-17",464
"2021-05-18",346
"2021-05-19",408
"2021-05-20",555
"2021-05-21",621
"2021-05-22",409
"2021-05-23",299
"2021-05-24",376
"2021-05-25",421
"2021-05-26",472
"2021-05-27",426
"2021-05-28",412
"2021-05-29",1023
"2021-05-30",804
"2021-05-31",820
"2021-06-01",573
"2021-06-02",450
"2021-06-03",150
"2021-06-04",592
"2021-06-05",629
"2021-06-06",725
"2021-06-07",425
"2021-06-08",451
"2021-06-09",431
"2021-06-10",498
"2021-06-11",613
"2021-06-12",754
"2021-06-13",613
"2021-06-14",464
"2021-06-15",428
"2021-06-16",393
"2021-06-17",428
"2021-06-18",530
"2021-06-19",704
"2021-06-20",602
"2021-06-21",501
"2021-06-22",541
"2021-06-23",464
"2021-06-24",602
"2021-06-25",602
"2021-06-26",700
"2021-06-27",560
"2021-06-28",406
"2021-06-29",400
"2021-06-30",510
"2021-07-01",569
"2021-07-02",641
"2021-07-03",790
"2021-07-04",722
"2021-07-05",533
"2021-07-06",475
"2021-07-07",479
"2021-07-08",452
"2021-07-09",385
"2021-07-10",559
"2021-07-11",516
"2021-07-12",447
"2021-07-13",389
"2021-07-14",412
"2021-07-15",445
"2021-07-16",481
"2021-07-17",728
"2021-07-18",581
"2021-07-19",346
"2021-07-20",406
"2021-07-21",433
"2021-07-22",406
"2021-07-23",571
"2021-07-24",687
"2021-07-25",521
"2021-07-26",424
"2021-07-27",470
"2021-07-28",506
"2021-07-29",375
"2021-07-30",492
"2021-07-31",528
"2021-08-01",414
"2021-08-02",204
"2021-08-03",381
"2021-08-04",397
"2021-08-05",350
"2021-08-06",464
"2021-08-07",646
"2021-08-08",613
"2021-08-09",394
"2021-08-10",374
"2021-08-11",346
"2021-08-12",330
"2021-08-13",433
"2021-08-14",601
"2021-08-15",328
"2021-08-16",438
"2021-08-17",383
"2021-08-18",431
"2021-08-19",408
"2021-08-20",486
"2021-08-21",771
"2021-08-22",529
"2021-08-23",581
"2021-08-24",575
"2021-08-25",749
"2021-08-26",864
"2021-08-27",1003
"2021-08-28",789
"2021-08-29",746
"2021-08-30",935
"2021-08-31",950
"2021-09-01",917
"2021-09-02",922
"2021-09-03",866
"2021-09-04",820
"2021-09-05",860
"2021-09-06",798
"2021-09-07",487
"2021-09-08",826
"2021-09-09",924
"2021-09-10",1113
"2021-09-11",1007
"2021-09-12",831
"2021-09-13",1001
"2021-09-14",1022
"2021-09-15",973
"2021-09-16",1010
"2021-09-17",1027
"2021-09-18",1087
"2021-09-19",832
"2021-09-20",973
"2021-09-21",997
"2021-09-22",1072
"2021-09-23",1108
"2021-09-24",1173
"2021-09-25",1178
"2021-09-26",958
"2021-09-27",1045
"2021-09-28",859
"2021-09-29",876
"2021-09-30",947
"2021-10-01",1093
"2021-10-02",1372
"2021-10-03",1117
"2021-10-04",1052
"2021-10-05",1063
"2021-10-06",1001
"2021-10-07",1003
"2021-10-08",1504
"2021-10-09",1599
"2021-10-10",1240
"2021-10-11",1154
"2021-10-12",858
"2021-10-13",960
"2021-10-14",910
"2021-10-15",1272
"2021-10-16",1292
"2021-10-17",1147
"2021-10-18",1072
"2021-10-19",1026
"2021-10-20",940
"2021-10-21",1193
"2021-10-22",1190
"2021-10-23",1130
"2021-10-24",939
"2021-10-25",1264
"2021-10-26",1091
"2021-10-27",920
"2021-10-28",953
"2021-10-29",1016
"2021-10-30",982
"2021-10-31",903
"2021-11-01",872
"2021-11-02",944
"2021-11-03",243
"2021-11-04",776
"2021-11-05",1005
"2021-11-06",1061
"2021-11-07",996
"2021-11-08",1036
"2021-11-09",1009
"2021-11-10",975
"2021-11-11",1052
"2021-11-12",1137
"2021-11-13",1299
"2021-11-14",1077
"2021-11-15",1134
"2021-11-16",1039
"2021-11-17",701
"2021-11-18",791
"2021-11-19",911
"2021-11-20",930
"2021-11-21",693
"2021-11-22",723
"2021-11-23",635
"2021-11-24",458
"2021-11-25",322
"2021-11-26",462
"2021-11-27",138
"2021-11-28",636
"2021-11-29",953
"2021-11-30",970
"2021-12-01",831
"2021-12-02",994
"2021-12-03",918
"2021-12-04",1190
"2021-12-05",1009
"2021-12-06",824
"2021-12-07",588
"2021-12-08",793
"2021-12-09",794
"2021-12-10",1001
"2021-12-11",748
"2021-12-12",665
"2021-12-13",619
"2021-12-14",503
"2021-12-15",606
"2021-12-16",438
"2021-12-17",384
"2021-12-18",189
"2021-12-19",285
"2021-12-20",266
"2021-12-21",384
"2021-12-22",372
"2021-12-23",299
"2021-12-24",338
"2021-12-25",453
"2021-12-26",373
"2021-12-27",477
"2021-12-28",508
"2021-12-29",577
"2021-12-30",604
"2021-12-31",607
"2022-01-01",550
"2022-01-02",169
"2022-01-03",238
"2022-01-04",385
"2022-01-05",360
"2022-01-06",308
"2022-01-07",204
"2022-01-08",222
"2022-01-09",425
"2022-01-10",284
"2022-01-11",200
"2022-01-12",378
"2022-01-13",440
"2022-01-14",613
"2022-01-15",423
"2022-01-16",553
"2022-01-17",607
"2022-01-18",708
"2022-01-19",645
"2022-01-20",233
"2022-01-21",480
"2022-01-22",580
"2022-01-23",547
"2022-01-24",369
"2022-01-25",538
"2022-01-26",580
"2022-01-27",663
"2022-01-28",677
"2022-01-29",929
"2022-01-30",871
"2022-01-31",334
"2022-02-01",996
"2022-02-02",536
"2022-02-03",39
"2022-02-04",209
"2022-02-05",560
"2022-02-06",713
"2022-02-07",874
"2022-02-08",978
"2022-02-09",1021
"2022-02-10",1139
"2022-02-11",1124
"2022-02-12",633
"2022-02-13",925
"2022-02-14",869
"2022-02-15",1069
"2022-02-16",1053
"2022-02-17",937
"2022-02-18",965
"2022-02-19",1220
"2022-02-20",872
"2022-02-21",1279
"2022-02-22",302
"2022-02-23",345
"2022-02-24",342
"2022-02-25",446
"2022-02-26",273
"2022-02-27",652
"2022-02-28",880
"2022-03-01",1026
"2022-03-02",974
"2022-03-03",1046
"2022-03-04",1028
"2022-03-05",1263
"2022-03-06",1040
"2022-03-07",715
"2022-03-08",652
"2022-03-09",808
"2022-03-10",1042
"2022-03-11",519
"2022-03-12",826
"2022-03-13",830
"2022-03-14",944
"2022-03-15",1010
"2022-03-16",724
"2022-03-17",3
"2022-03-18",33
"2022-03-19",567
"2022-03-20",882
"2022-03-21",520
"2022-03-22",958
"2022-03-23",1001
"2022-03-24",1169
"2022-03-25",1251
"2022-03-26",1192
"2022-03-27",1076
"2022-03-28",1103
"2022-03-29",1043
"2022-03-30",1132
"2022-03-31",1196
"2022-04-01",1228
"2022-04-02",1352
"2022-04-03",1424
"2022-04-04",1186
"2022-04-05",1053
"2022-04-06",1266
"2022-04-07",1278
"2022-04-08",1381
"2022-04-09",1319
"2022-04-10",1166
"2022-04-11",1094
"2022-04-12",1115
"2022-04-13",1180
"2022-04-14",1391
"2022-04-15",1359
"2022-04-16",1235
"2022-04-17",993
"2022-04-18",1391
"2022-04-19",1227
"2022-04-20",1236
"2022-04-21",1230
"2022-04-22",1372
"2022-04-23",1409
"2022-04-24",1156
"2022-04-25",480
"2022-04-26",1138
"2022-04-27",1132
"2022-04-28",1286
"2022-04-29",1352
"2022-04-30",1361
"2022-05-01",1142
"2022-05-02",947
"2022-05-03",1149
"2022-05-04",978
"2022-05-05",914
"2022-05-06",1281
"2022-05-07",1091
"2022-05-08",1010
"2022-05-09",938
"2022-05-10",951
"2022-05-11",980
"2022-05-12",1069
"2022-05-13",1209
"2022-05-14",1223
"2022-05-15",912
"2022-05-16",729
"2022-05-17",736
"2022-05-18",649
"2022-05-19",665
"2022-05-20",615
"2022-05-21",675
"2022-05-22",731
"2022-05-23",661
"2022-05-24",555
"2022-05-25",619
"2022-05-26",531
"2022-05-27",634
"2022-05-28",736
"2022-05-29",748
"2022-05-30",727
"2022-05-31",546
"2022-06-01",622
"2022-06-02",606
"2022-06-03",695
"2022-06-04",822
"2022-06-05",735
"2022-06-06",587
"2022-06-07",647
"2022-06-08",627
"2022-06-09",680
"2022-06-10",718
"2022-06-11",748
"2022-06-12",584
"2022-06-13",525
"2022-06-14",640
"2022-06-15",700
"2022-06-16",582
"2022-06-17",682
"2022-06-18",678
"2022-06-19",731
"2022-06-20",748
"2022-06-21",609
"2022-06-22",633
"2022-06-23",569
"2022-06-24",662
"2022-06-25",596
"2022-06-26",649
"2022-06-27",455
"2022-06-28",653
"2022-06-29",662
"2022-06-30",685
