Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/29/2022,06/30/2022,WASHINGTON PARK PARKING,Travel,Sale,-6.00,
06/29/2022,06/30/2022,VELO PLANET CYCLERY,Shopping,Sale,-67.95,
06/29/2022,06/29/2022,AIRBNB  HMZ9ZKTP8S,Travel,Sale,-1165.67,
06/28/2022,06/29/2022,TARGET        00009100,Shopping,Sale,-4.05,
06/28/2022,06/29/2022,TARGET        00009100,Shopping,Sale,-47.19,
06/27/2022,06/28/2022,Order at Canyon Bicycles,Shopping,Sale,-24.98,
06/26/2022,06/28/2022,SAFEWAY #1230,Groceries,Sale,-19.19,
06/27/2022,06/28/2022,FRED MEYER 0482,Groceries,Sale,-75.12,
06/26/2022,06/27/2022,WHOLEFDS TAN 10327,Groceries,Sale,-22.96,
06/26/2022,06/27/2022,COSTCO WHSE #0009,Shopping,Sale,-144.43,
06/23/2022,06/27/2022,A DOGS HIDE A WAY LLC,Personal,Sale,-30.00,
06/25/2022,06/26/2022,WWW.OBRA.ORG,Gifts & Donations,Sale,-26.25,
06/24/2022,06/26/2022,SP LITTLE SLEEPIES,Shopping,Sale,-100.00,
06/25/2022,06/26/2022,FRED MEYER 0482,Groceries,Sale,-27.51,
06/24/2022,06/26/2022,SAFEWAY #1230,Groceries,Sale,-25.07,
06/26/2022,06/26/2022,ZUPPLER ONLINE FOOD ORDER,Food & Drink,Sale,-46.80,
06/25/2022,06/26/2022,Payment Thank You-Mobile,,Payment,913.92,
06/25/2022,06/26/2022,RITE AID 05339,Health & Wellness,Sale,-15.98,
06/25/2022,06/26/2022,SKECHERS.COM #600,Shopping,Sale,-62.50,
06/24/2022,06/26/2022,VILLASPORT BV CAFE,Food & Drink,Sale,-8.50,
06/23/2022,06/24/2022,SP LARKWEAR,Shopping,Sale,-46.98,
06/22/2022,06/24/2022,CHICK-FIL-A #03489,Food & Drink,Sale,-8.08,
06/22/2022,06/24/2022,TARGET        00009100,Shopping,Sale,-23.99,
06/23/2022,06/24/2022,WHOLEFDS TAN 10327,Groceries,Sale,-36.12,
06/23/2022,06/24/2022,WALGREENS #6831,Health & Wellness,Sale,-47.98,
06/23/2022,06/24/2022,ULTA.COM,Shopping,Sale,-64.13,
06/22/2022,06/23/2022,COSTCO WHSE #0009,Shopping,Sale,-143.88,
06/22/2022,06/23/2022,WWW COSTCO COM,Shopping,Sale,-44.99,
06/20/2022,06/23/2022,A DOGS HIDE A WAY LLC,Personal,Sale,-150.00,
06/21/2022,06/22/2022,ONCE UPON A FARM  LLC,Groceries,Sale,-61.83,
06/21/2022,06/22/2022,COSTCO GAS #0009,Gas,Sale,-82.42,
06/22/2022,06/22/2022,Nike.com,Shopping,Sale,-27.97,
06/21/2022,06/22/2022,WWW.OBRA.ORG,Gifts & Donations,Sale,-26.25,
06/21/2022,06/22/2022,HEALTHY PAWS PET INSURAN,Bills & Utilities,Sale,-72.40,
06/22/2022,06/22/2022,CHIPOTLE ONLINE,Food & Drink,Sale,-21.25,
06/20/2022,06/21/2022,TST* Petite Provence The,Food & Drink,Sale,-9.65,
06/21/2022,06/21/2022,Payment Thank You-Mobile,,Payment,639.07,
06/20/2022,06/21/2022,TST* Coffee Corral,Food & Drink,Sale,-11.20,
06/20/2022,06/21/2022,SQ *LILOS BBQ #2,Food & Drink,Sale,-34.80,
06/18/2022,06/20/2022,LATITUDE 45 GRILLE,Food & Drink,Sale,-81.75,
06/19/2022,06/20/2022,TST* SORBENOTS COFFEE - B,Food & Drink,Sale,-16.53,
06/17/2022,06/20/2022,D and J Taco Shop,Food & Drink,Sale,-14.40,
06/18/2022,06/20/2022,SAFEWAY #4381,Groceries,Sale,-8.98,
06/17/2022,06/19/2022,TST* Coffee Corral,Food & Drink,Sale,-13.08,
06/16/2022,06/19/2022,STARBUCKS STORE 14026,Food & Drink,Sale,-5.90,
06/16/2022,06/19/2022,SAFEWAY #4381,Groceries,Sale,-83.97,
06/18/2022,06/19/2022,TST* SORBENOTS COFFEE - B,Food & Drink,Sale,-16.04,
06/18/2022,06/19/2022,SQ *NORTH SEVEN BREWING C,Food & Drink,Sale,-40.80,
06/16/2022,06/17/2022,WWW.RSLIDES.COM,Shopping,Sale,-29.99,
06/16/2022,06/17/2022,SQ *LILOS BBQ #2,Food & Drink,Sale,-26.40,
06/16/2022,06/17/2022,MAVERIK #439,Gas,Sale,-68.16,
06/16/2022,06/17/2022,THE TRAILHEAD,Entertainment,Sale,-24.00,
06/15/2022,06/16/2022,SQ *PIZZAFORTE  LLC,Food & Drink,Sale,-38.40,
06/15/2022,06/16/2022,QDOBA 2244 OLO,Food & Drink,Sale,-39.40,
06/15/2022,06/15/2022,Payment Thank You-Mobile,,Payment,648.73,
06/14/2022,06/15/2022,SPACE AGE#23,Gas,Sale,-76.62,
06/14/2022,06/15/2022,TARGET.COM  *,Shopping,Sale,-29.53,
06/14/2022,06/15/2022,SPACE AGE#23,Gas,Sale,-25.12,
06/13/2022,06/14/2022,RITE AID 05339,Health & Wellness,Sale,-7.15,
06/12/2022,06/14/2022,QDOBA 2315,Food & Drink,Sale,-33.11,
06/14/2022,06/14/2022,CRUMBL TANASBOURNE,Groceries,Sale,-18.00,
06/13/2022,06/14/2022,APPLE.COM/BILL,Shopping,Sale,-9.99,
06/12/2022,06/13/2022,FRED-MEYER #0035,Groceries,Sale,-52.04,
06/12/2022,06/13/2022,COSTCO WHSE #0009,Shopping,Sale,-62.98,
06/12/2022,06/13/2022,WOLFS HEAD BURGERHOUSE,Food & Drink,Sale,-43.20,
06/12/2022,06/13/2022,PETSMART # 2051,Shopping,Sale,-17.97,
06/11/2022,06/13/2022,SPEAKEASY,Food & Drink,Sale,-15.00,
06/11/2022,06/13/2022,SPEAKEASY,Food & Drink,Sale,-15.00,
06/10/2022,06/12/2022,SPORT CLIPS - OR103 - TAN,Personal,Sale,-35.00,
06/11/2022,06/12/2022,COSTCO WHSE #0009,Shopping,Sale,-195.70,
06/11/2022,06/12/2022,TST* JAMBA JUICE - 0226 -,Food & Drink,Sale,-19.16,
06/08/2022,06/10/2022,SP KATE QUINN,Shopping,Return,16.00,
06/10/2022,06/10/2022,BCY*BACKCOUNTRY.COM,Shopping,Sale,-74.98,
06/09/2022,06/10/2022,MACYS   .COM,Shopping,Sale,-26.35,
06/09/2022,06/10/2022,APPLE.COM/BILL,Shopping,Sale,-2.99,
06/08/2022,06/10/2022,SAFEWAY #1230,Groceries,Sale,-36.11,
06/09/2022,06/09/2022,Payment Thank You-Mobile,,Payment,1770.07,
06/06/2022,06/08/2022,A DOGS HIDE A WAY LLC,Personal,Sale,-30.00,
06/08/2022,06/08/2022,NOODLES &amp; CO WEB 812,Food & Drink,Sale,-39.00,
06/07/2022,06/08/2022,SP LARKWEAR,Shopping,Sale,-60.98,
06/07/2022,06/08/2022,AIRBNB  HMTBSFZ4ZS,Travel,Sale,-441.42,
06/06/2022,06/07/2022,FRED MEYER,Groceries,Sale,-118.43,
06/05/2022,06/07/2022,PANERA BREAD #202162 P,Food & Drink,Sale,-39.00,
06/04/2022,06/06/2022,TST* StormBreaker Brewing,Food & Drink,Sale,-38.40,
06/05/2022,06/06/2022,FRED MEYER 0482,Groceries,Sale,-6.22,
06/04/2022,06/06/2022,PROST TAVERN PORTLAND,Food & Drink,Sale,-23.00,
06/03/2022,06/06/2022,A DOGS HIDE A WAY LLC,Personal,Sale,-30.00,
06/04/2022,06/05/2022,SP KYTE BABY,Shopping,Sale,-53.48,
06/04/2022,06/05/2022,PAYPAL *FARBERSWIM,Home,Sale,-54.75,
06/03/2022,06/05/2022,76 - PLAID PANTRY 206,Gas,Sale,-81.58,
06/03/2022,06/05/2022,Peacock B9093 Premium,Bills & Utilities,Sale,-4.99,
06/03/2022,06/05/2022,TARGET        00009100,Shopping,Sale,-24.87,
06/03/2022,06/05/2022,BED BATH &amp; BEYOND #431,Home,Return,179.99,
06/04/2022,06/05/2022,UNIVERSAL CYCLES,Shopping,Sale,-18.96,
06/04/2022,06/05/2022,Nike.com,Shopping,Sale,-31.00,
06/03/2022,06/05/2022,BASSITT'S SERVICE,Gas,Sale,-675.00,
06/03/2022,06/03/2022,WWW.OBRA.ORG,Gifts & Donations,Sale,-26.25,
06/03/2022,06/03/2022,SP SKRATCH LABS,Groceries,Sale,-81.95,
06/02/2022,06/03/2022,SQ *LEKA PLAYLAND  INC,Entertainment,Sale,-14.00,
06/02/2022,06/03/2022,REI.COM  800-426-4840,Shopping,Sale,-4.98,
06/02/2022,06/03/2022,SQ *OH MY CREPE,Food & Drink,Sale,-10.00,
06/03/2022,06/03/2022,Payment Thank You - Web,,Payment,716.16,
06/02/2022,06/03/2022,WOLF'S HEAD SMOKEHOUSE,Food & Drink,Sale,-40.80,
06/02/2022,06/03/2022,SQ *LEKA PLAYLAND  INC,Entertainment,Sale,-1.00,
06/01/2022,06/02/2022,FRED MEYER 0035,Groceries,Sale,-4.29,
06/01/2022,06/02/2022,UNIVERSAL CYCLES,Shopping,Sale,-108.00,
05/31/2022,06/02/2022,A DOGS HIDE A WAY LLC,Personal,Sale,-30.00,
06/02/2022,06/02/2022,CHIPOTLE ONLINE,Food & Drink,Sale,-14.65,
06/01/2022,06/02/2022,Etsy.com - ThePaisleyBox,Shopping,Sale,-33.96,
06/02/2022,06/02/2022,NOODLES &amp; CO WEB 810,Food & Drink,Sale,-15.53,
05/31/2022,06/02/2022,SAFEWAY #1230,Groceries,Sale,-14.98,
05/30/2022,06/01/2022,SPEAKEASY,Food & Drink,Sale,-15.00,
05/30/2022,06/01/2022,TST* Montage A La Cart 3,Food & Drink,Sale,-25.74,
05/31/2022,06/01/2022,BED BATH &amp; BEYOND #431,Home,Sale,-179.99,
06/01/2022,06/01/2022,CRUMBL TANASBOURNE,Groceries,Sale,-7.00,
05/31/2022,06/01/2022,SP LITTLE SLEEPIES,Shopping,Sale,-24.65,
05/31/2022,05/31/2022,LS ZUKABABY,Shopping,Sale,-30.00,
05/30/2022,05/31/2022,SQ *LEKA PLAYLAND  INC,Entertainment,Sale,-1.00,
05/30/2022,05/31/2022,SQ *LEKA PLAYLAND  INC,Entertainment,Sale,-6.00,
05/30/2022,05/31/2022,SQ *LEKA PLAYLAND  INC,Entertainment,Sale,-2.00,
05/30/2022,05/31/2022,SQ *LEKA PLAYLAND  INC,Entertainment,Sale,-2.00,
05/30/2022,05/31/2022,SQ *LEKA PLAYLAND  INC,Entertainment,Sale,-14.00,
05/30/2022,05/31/2022,QDOBA 2244 OLO,Food & Drink,Sale,-39.40,
05/30/2022,05/31/2022,SQ *PIZZAFORTE  LLC,Food & Drink,Sale,-24.00,
05/30/2022,05/31/2022,THE LITTLE GYM OF LAKE OS,Health & Wellness,Sale,-95.00,
05/30/2022,05/30/2022,Payment Thank You-Mobile,,Payment,550.15,
05/29/2022,05/30/2022,RITE AID 05339,Health & Wellness,Sale,-28.97,
05/27/2022,05/29/2022,COSTCO WHSE #0009,Shopping,Sale,-43.98,
05/28/2022,05/29/2022,RITE AID 05339,Health & Wellness,Sale,-10.00,
05/29/2022,05/29/2022,WWW.OBRA.ORG,Gifts & Donations,Sale,-26.25,
05/27/2022,05/29/2022,SP KATE QUINN,Shopping,Sale,-52.99,
05/28/2022,05/29/2022,BCY*COMPCYCLIST.COM,Shopping,Sale,-107.40,
05/27/2022,05/29/2022,CRUMBL CORPORATESALES,Groceries,Sale,-30.00,
05/27/2022,05/29/2022,SAFEWAY #1230,Groceries,Sale,-88.18,
05/28/2022,05/29/2022,TRADER JOE'S #149  QPS,Groceries,Sale,-8.88,
05/26/2022,05/27/2022,TST* NOTHING BUNDT CAKES,Food & Drink,Sale,-32.00,
05/25/2022,05/26/2022,SP LITTLE SLEEPIES,Shopping,Sale,-54.40,
05/24/2022,05/25/2022,VCA ROCK CREEK AH# 924,Personal,Sale,-84.45,
05/24/2022,05/25/2022,Payment Thank You-Mobile,,Payment,425.68,
05/24/2022,05/25/2022,SQ *SLOWBOMB COFFEEHOUSE,Food & Drink,Sale,-5.75,
05/23/2022,05/25/2022,SAFEWAY #1230,Groceries,Sale,-5.87,
05/22/2022,05/24/2022,SAFEWAY #1230,Groceries,Sale,-8.99,
05/22/2022,05/24/2022,A DOGS HIDE A WAY LLC,Personal,Sale,-30.00,
05/23/2022,05/24/2022,VCA ROCK CREEK AH# 924,Personal,Sale,-204.40,
05/23/2022,05/24/2022,UNIVERSAL CYCLES,Shopping,Sale,-45.90,
05/24/2022,05/24/2022,CRUMBL TANASBOURNE,Groceries,Sale,-17.00,
05/23/2022,05/23/2022,Payment Thank You-Mobile,,Payment,1239.43,
05/22/2022,05/23/2022,WHOLEFDS TAN 10327,Groceries,Sale,-55.19,
05/22/2022,05/23/2022,FRED MEYER 0482,Groceries,Sale,-34.20,
05/21/2022,05/23/2022,SPEAKEASY,Food & Drink,Sale,-15.00,
05/21/2022,05/23/2022,SPEAKEASY,Food & Drink,Sale,-15.00,
05/21/2022,05/22/2022,WOLF'S HEAD SMOKEHOUSE,Food & Drink,Sale,-19.20,
05/21/2022,05/22/2022,COSTCO WHSE #0009,Shopping,Sale,-20.18,
05/21/2022,05/22/2022,WOLF'S HEAD SMOKEHOUSE,Food & Drink,Sale,-26.40,
05/21/2022,05/22/2022,APPLE.COM/BILL,Shopping,Sale,-29.99,
05/21/2022,05/22/2022,SP LITTLE SLEEPIES,Shopping,Return,2.80,
05/21/2022,05/22/2022,HEALTHY PAWS PET INSURAN,Bills & Utilities,Sale,-72.40,
05/16/2022,05/19/2022,A DOGS HIDE A WAY LLC,Personal,Sale,-30.00,
05/18/2022,05/18/2022,Payment Thank You-Mobile,,Payment,605.55,
05/16/2022,05/18/2022,A DOGS HIDE A WAY LLC,Personal,Sale,-1020.00,
05/16/2022,05/18/2022,SAFEWAY #1230,Groceries,Sale,-24.06,
05/15/2022,05/17/2022,JIMMY JOHNS - 1445 - E,Food & Drink,Sale,-19.43,
05/16/2022,05/17/2022,FRED MEYER 0482,Groceries,Sale,-12.99,
05/15/2022,05/16/2022,WHOLEFDS BRD 10266,Groceries,Sale,-135.27,
05/15/2022,05/16/2022,WHOLEFDS BRD 10266,Groceries,Sale,-5.50,
05/16/2022,05/16/2022,SP LARKWEAR,Shopping,Sale,-75.23,
05/14/2022,05/16/2022,PELICAN PUB &amp; BREWERY,Food & Drink,Sale,-96.82,
05/13/2022,05/15/2022,APPLE.COM/BILL,Shopping,Sale,-9.99,
05/12/2022,05/15/2022,FRED MEYER 0661,Groceries,Sale,-37.11,
05/12/2022,05/13/2022,SPACE AGE#23,Gas,Sale,-66.02,
05/12/2022,05/13/2022,SP LITTLE SLEEPIES,Shopping,Sale,-125.80,
05/11/2022,05/13/2022,SAFEWAY #1230,Groceries,Sale,-6.99,
05/12/2022,05/12/2022,Payment Thank You-Mobile,,Payment,832.80,
05/10/2022,05/12/2022,ZONA ROSA,Food & Drink,Sale,-14.40,
05/09/2022,05/11/2022,A DOGS HIDE A WAY LLC,Personal,Sale,-30.00,
05/08/2022,05/10/2022,JIMMY JOHNS # 1406 -,Food & Drink,Sale,-18.25,
05/10/2022,05/10/2022,APPLE.COM/BILL,Shopping,Sale,-2.99,
05/06/2022,05/09/2022,A DOGS HIDE A WAY LLC,Personal,Sale,-60.00,
05/08/2022,05/09/2022,NikePOS_US,Shopping,Sale,-466.85,
05/08/2022,05/09/2022,COSTCO WHSE #0009,Shopping,Sale,-215.73,
05/05/2022,05/08/2022,FRED MEYER 0482,Groceries,Sale,-38.98,
05/08/2022,05/08/2022,Payment Thank You-Mobile,,Payment,107.34,
05/05/2022,05/05/2022,CHIPOTLE ONLINE,Food & Drink,Sale,-27.70,
05/03/2022,05/04/2022,Peacock 1B717 Premium,Bills & Utilities,Sale,-4.99,
05/04/2022,05/04/2022,CRUMBL TANASBOURNE,Groceries,Sale,-17.00,
05/03/2022,05/03/2022,Payment Thank You-Mobile,,Payment,164.31,
05/02/2022,05/03/2022,VCA ROCK CREEK AH# 924,Personal,Sale,-37.40,
05/01/2022,05/03/2022,HOODLAND THRFTWY,Groceries,Sale,-20.25,
05/02/2022,05/02/2022,Payment Thank You-Mobile,,Payment,164.07,
04/29/2022,05/02/2022,TIMBERLINE GIFT SHOP,Shopping,Sale,-52.00,
05/01/2022,05/02/2022,SPACE AGE#23,Gas,Sale,-55.90,
05/01/2022,05/02/2022,SQ *COFFEE HOUSE 26,Food & Drink,Sale,-9.75,
04/29/2022,05/02/2022,MT. HOOD BREWING COMPA,Food & Drink,Sale,-24.00,
04/30/2022,05/02/2022,HOODLAND THRFTWY,Groceries,Sale,-22.66,
04/28/2022,05/01/2022,A DOGS HIDE A WAY LLC,Personal,Sale,-30.00,
